StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage, ,Q2,Q3,Q16,Q16_DO,blocknumber,FL_49_DO
11/24/2021 9:04,11/24/2021 9:08,IP Address,107.77.210.63,100,232,TRUE,11/24/2021 9:08,R_2atQZ2YEGEpI6kr,,,,,41.87640381,-87.61329651,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),42,Treatment1
11/24/2021 9:32,11/24/2021 9:33,IP Address,108.48.179.37,100,54,TRUE,11/24/2021 9:33,R_DGCzOu22wY6isUx,,,,,39.10899353,-77.24890137,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),57,Treatment2
11/24/2021 12:48,11/24/2021 12:49,IP Address,184.166.98.45,100,60,TRUE,11/24/2021 12:49,R_3hFNB4Twu2GpS4C,,,,,46.85220337,-114.0214005,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),78,
11/24/2021 13:33,11/24/2021 13:34,IP Address,75.172.127.74,100,66,TRUE,11/24/2021 13:34,R_1Dr11FXBXZILgod,,,,,47.67329407,-122.3426056,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),85,
11/24/2021 19:04,11/24/2021 19:05,IP Address,71.61.250.218,100,58,TRUE,11/24/2021 19:05,R_2w4WIKq7lSL6v57,,,,,40.44880676,-79.99510193,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),14,Treatment3
11/18/2021 11:43,11/18/2021 11:44,IP Address,128.237.82.12,11,11,FALSE,11/25/2021 11:44,R_z23m73n1a3hb985,,,,,,,anonymous,EN,,,,,,,
11/18/2021 11:59,11/18/2021 11:59,IP Address,172.58.184.0,44,28,FALSE,11/25/2021 11:59,R_01vMPdpad9dPbNf,,,,,,,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",,,,
11/18/2021 13:23,11/18/2021 13:47,IP Address,73.141.195.98,89,1432,FALSE,11/25/2021 13:47,R_1LUyOH0V959ALhM,,,,,,,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",,,22,Treatment2
11/18/2021 14:23,11/18/2021 14:24,IP Address,73.154.179.207,89,35,FALSE,11/25/2021 14:24,R_BxjZMzon4h4tI4h,,,,,,,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,,,72,Treatment3
11/18/2021 14:39,11/18/2021 14:40,IP Address,74.111.97.194,78,34,FALSE,11/25/2021 14:40,R_UAu5JLDXOykbnH3,,,,,,,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",,,11,Treatment2
11/18/2021 14:49,11/18/2021 14:49,IP Address,98.111.206.159,11,2,FALSE,11/25/2021 14:49,R_29p61un2hysPF7Z,,,,,,,anonymous,EN,,,,,,,
11/25/2021 15:04,11/25/2021 15:15,IP Address,71.61.179.142,100,648,TRUE,11/25/2021 15:15,R_1QG9iL1oxuCvOOg,,,,,40.43240356,-79.92469788,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),60,Treatment1
11/18/2021 15:45,11/18/2021 15:46,IP Address,73.169.249.116,44,42,FALSE,11/25/2021 15:46,R_2do6l8JzMBj0BQs,,,,,,,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,,,,
11/18/2021 14:11,11/18/2021 16:52,IP Address,73.169.249.116,11,9648,FALSE,11/25/2021 16:52,R_1QhYwKsS1rEuzHr,,,,,,,anonymous,EN,,,,,,,
11/18/2021 17:43,11/18/2021 17:43,IP Address,172.58.140.205,89,44,FALSE,11/25/2021 17:44,R_PB6gElAZLTYbS7v,,,,,,,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",,,47,Treatment3
11/18/2021 18:02,11/18/2021 18:02,IP Address,107.77.225.202,89,30,FALSE,11/25/2021 18:02,R_2UVkVlvbN0LRj1g,,,,,,,anonymous,EN,20-24,Female,"Master's degree, Ph.D, or higher",,,56,Treatment1
11/18/2021 18:53,11/18/2021 18:53,IP Address,71.206.247.6,89,19,FALSE,11/25/2021 18:53,R_2EA9z09WPUlMosA,,,,,,,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,,,42,Treatment1
11/18/2021 19:46,11/18/2021 19:47,IP Address,36.255.87.180,11,56,FALSE,11/25/2021 19:47,R_vHMHqPIh19v7njz,,,,,,,anonymous,EN,,,,,,,
11/18/2021 19:32,11/18/2021 19:47,IP Address,73.79.137.172,44,911,FALSE,11/25/2021 19:48,R_3esn8SrBaaHb32b,,,,,,,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",,,,
11/18/2021 20:09,11/18/2021 20:09,IP Address,67.171.67.40,89,34,FALSE,11/25/2021 20:09,R_ePxmIZLF44ReNwd,,,,,,,anonymous,EN,20-24,Male,"Master's degree, Ph.D, or higher",,,48,Treatment2
11/18/2021 21:12,11/18/2021 21:12,IP Address,110.172.187.182,44,19,FALSE,11/25/2021 21:12,R_2D7a3jUeXHNLe8f,,,,,,,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,,,,
11/18/2021 22:18,11/18/2021 22:18,IP Address,36.255.85.237,44,32,FALSE,11/25/2021 22:18,R_dm75VWKU8qPPPON,,,,,,,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,,,,
11/18/2021 22:28,11/18/2021 22:28,IP Address,116.68.75.138,11,3,FALSE,11/25/2021 22:28,R_ZDFGSXW3AVBEWl3,,,,,,,anonymous,EN,,,,,,,
11/19/2021 0:45,11/19/2021 0:45,IP Address,193.148.18.102,44,30,FALSE,11/26/2021 0:46,R_1KlQipnDcjcgUUc,,,,,,,anonymous,EN,25-29,Male,High school diploma,,,,
11/19/2021 18:03,11/19/2021 18:03,IP Address,172.56.13.13,44,15,FALSE,11/26/2021 18:03,R_10Bf2EfENDsF2UO,,,,,,,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,,,,
11/26/2021 19:48,11/26/2021 19:49,IP Address,64.9.239.17,100,52,TRUE,11/26/2021 19:49,R_db5ESk1ISpEOR5n,,,,,41.87640381,-87.61329651,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),80,
11/27/2021 1:50,11/27/2021 1:52,IP Address,37.19.218.148,100,68,TRUE,11/27/2021 1:52,R_2ByWj5iE3acn7ke,,,,,50.45799255,30.53030396,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),6,Treatment2
11/20/2021 12:44,11/20/2021 12:44,IP Address,107.77.210.57,44,16,FALSE,11/27/2021 12:44,R_2dj5VMe9yAbRBUf,,,,,,,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,,,,
11/20/2021 13:28,11/20/2021 13:28,IP Address,66.10.166.29,89,24,FALSE,11/27/2021 13:28,R_1MQV8xVh35x8AO2,,,,,,,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",,,46,Treatment3
11/20/2021 13:38,11/20/2021 13:39,IP Address,45.31.181.24,89,80,FALSE,11/27/2021 13:39,R_9NqDxuYYVPVaRqN,,,,,,,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",,,93,
11/20/2021 14:42,11/20/2021 14:42,IP Address,184.169.45.4,11,22,FALSE,11/27/2021 14:42,R_1rlCmuMUU4HmNRc,,,,,,,anonymous,EN,,,,,,,
11/27/2021 15:06,11/27/2021 15:07,IP Address,73.27.134.231,100,89,TRUE,11/27/2021 15:07,R_3OdblQ4E0TlN74G,,,,,27.06019592,-82.353302,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),83,
11/27/2021 18:21,11/27/2021 18:24,IP Address,73.27.134.231,100,145,TRUE,11/27/2021 18:24,R_3kBevIQ88i14yan,,,,,27.06019592,-82.353302,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),62,Treatment3
11/28/2021 14:41,11/28/2021 14:41,IP Address,100.6.155.243,100,30,TRUE,11/28/2021 14:41,R_31oQcOHTj5y02jn,,,,,40.39649963,-80.04419708,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),32,Treatment1
11/28/2021 17:38,11/28/2021 17:41,IP Address,128.2.149.108,100,136,TRUE,11/28/2021 17:41,R_1mL6DTP73woIMGR,,,,,40.4394989,-79.94300079,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),90,
11/21/2021 18:13,11/21/2021 18:15,IP Address,24.2.127.196,11,82,FALSE,11/28/2021 18:15,R_p4uZxm0BKSbwpgZ,,,,,,,anonymous,EN,,,,,,,
11/21/2021 18:51,11/21/2021 18:51,IP Address,99.46.237.92,11,13,FALSE,11/28/2021 18:51,R_R4xgNBsaWzv8CFr,,,,,,,anonymous,EN,,,,,,,
11/28/2021 19:15,11/28/2021 19:16,IP Address,68.3.249.148,100,75,TRUE,11/28/2021 19:16,R_2R9Ae3FHytLnTpw,,,,,33.39079285,-111.9184036,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),21,Treatment2
11/28/2021 20:12,11/28/2021 20:18,IP Address,104.28.76.231,100,360,TRUE,11/28/2021 20:18,R_4ZMc9tGyvYUGo6J,,,,,38.89399719,-77.03649902,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),62,Treatment3
11/28/2021 20:19,11/28/2021 20:20,IP Address,107.77.206.44,100,63,TRUE,11/28/2021 20:20,R_10HQX0pci4AiiPe,,,,,41.87640381,-87.61329651,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),11,Treatment1
11/28/2021 20:22,11/28/2021 20:23,IP Address,107.77.210.53,100,78,TRUE,11/28/2021 20:23,R_3pbQnBchRuswiel,,,,,41.87640381,-87.61329651,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only features ($2/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),60,Treatment2
11/29/2021 8:31,11/29/2021 8:32,IP Address,73.125.241.87,100,47,TRUE,11/29/2021 8:32,R_2VIvQKjxG9rUbO6,,,,,26.18640137,-80.12850189,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),67,Treatment1
11/29/2021 8:36,11/29/2021 8:38,IP Address,107.77.232.20,100,87,TRUE,11/29/2021 8:38,R_br4eWWGxhZXwjuh,,,,,33.74850464,-84.38710022,anonymous,EN,35 or more than 35,Female,Other,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),87,
11/29/2021 8:40,11/29/2021 8:42,IP Address,73.187.49.210,100,85,TRUE,11/29/2021 8:42,R_3foCeHvDi0jWYSt,,,,,39.90559387,-76.60549927,anonymous,EN,30-34,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),45,Treatment3
11/29/2021 8:41,11/29/2021 8:42,IP Address,72.168.142.123,100,60,TRUE,11/29/2021 8:42,R_2bT1qQOUVqzyAIp,,,,,38.37159729,-78.2990036,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),45,Treatment2
11/29/2021 8:52,11/29/2021 8:53,IP Address,199.193.150.3,100,83,TRUE,11/29/2021 8:53,R_2TyDUNqIekEUDWG,,,,,39.59950256,-78.84609985,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),52,Treatment1
11/29/2021 8:58,11/29/2021 9:00,IP Address,71.15.58.250,100,80,TRUE,11/29/2021 9:00,R_3fleSyQy0LN1O0l,,,,,38.69760132,-90.36039734,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),83,
11/29/2021 9:30,11/29/2021 9:33,IP Address,159.250.147.174,100,139,TRUE,11/29/2021 9:33,R_3EETwAodDLwbRFX,,,,,39.59950256,-78.84609985,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),15,Treatment3
11/29/2021 9:33,11/29/2021 9:34,IP Address,73.174.42.174,100,83,TRUE,11/29/2021 9:34,R_3fUEkHB2YaxNLwV,,,,,39.64979553,-78.93569946,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),74,Treatment2
11/29/2021 9:34,11/29/2021 9:35,IP Address,100.15.212.42,100,52,TRUE,11/29/2021 9:35,R_2B4k3c58to1lvCO,,,,,38.93789673,-77.08589935,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),30,Treatment1
11/29/2021 9:43,11/29/2021 9:45,IP Address,107.77.203.167,100,115,TRUE,11/29/2021 9:45,R_2AScEZoMUBmfuEO,,,,,39.29089355,-76.60959625,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),82,
11/29/2021 9:45,11/29/2021 9:46,IP Address,96.244.92.248,100,57,TRUE,11/29/2021 9:46,R_3j9AcsSivoTnOfQ,,,,,39.28120422,-76.74060059,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),61,Treatment2
11/29/2021 9:48,11/29/2021 9:49,IP Address,75.149.18.49,100,43,TRUE,11/29/2021 9:49,R_2q45WTKiI1VwlQt,,,,,39.64979553,-78.93569946,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),66,Treatment1
11/29/2021 10:42,11/29/2021 10:44,IP Address,107.77.204.182,100,117,TRUE,11/29/2021 10:44,R_11XWuRZPhK0JrFI,,,,,39.29089355,-76.60959625,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),72,Treatment3
11/29/2021 10:50,11/29/2021 10:51,IP Address,71.61.250.176,100,66,TRUE,11/29/2021 10:51,R_20OpD3fQqk6vFKV,,,,,40.44880676,-79.99510193,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),45,Treatment3
11/29/2021 10:50,11/29/2021 10:52,IP Address,128.2.149.7,100,128,TRUE,11/29/2021 10:52,R_21tBE3QYpMnIkuh,,,,,40.4394989,-79.94300079,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),48,Treatment2
11/29/2021 10:50,11/29/2021 10:54,IP Address,128.237.82.11,100,224,TRUE,11/29/2021 10:54,R_25RR8VWy6aFL0sU,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),57,Treatment1
11/29/2021 11:01,11/29/2021 11:02,IP Address,74.98.228.53,100,74,TRUE,11/29/2021 11:02,R_1puH33Nxux0mq0a,,,,,40.47250366,-79.9108963,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),22,Treatment1
11/29/2021 11:03,11/29/2021 11:05,IP Address,67.171.73.144,100,141,TRUE,11/29/2021 11:05,R_Zgk3UZB5JigeZTr,,,,,40.47250366,-79.9108963,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),75,Treatment2
11/29/2021 11:06,11/29/2021 11:07,IP Address,107.77.225.183,100,87,TRUE,11/29/2021 11:07,R_ymwoQdY3cyAS4vf,,,,,40.75030518,-74.00140381,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),58,Treatment3
11/29/2021 11:26,11/29/2021 11:28,IP Address,174.207.231.28,100,61,TRUE,11/29/2021 11:28,R_2X0AVrH7Ka5IWkX,,,,,39.64379883,-84.17430115,anonymous,EN,35 or more than 35,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),34,Treatment1
11/29/2021 11:29,11/29/2021 11:32,IP Address,74.140.59.223,100,185,TRUE,11/29/2021 11:32,R_3Hi7rsKxkEMuduL,,,,,40.29379272,-83.07440186,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),65,Treatment3
11/29/2021 12:46,11/29/2021 12:46,IP Address,108.18.107.181,100,43,TRUE,11/29/2021 12:46,R_3GjgNhSzzjwFaij,,,,,38.8809967,-77.13619995,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),25,Treatment2
11/29/2021 10:51,11/29/2021 12:59,IP Address,128.237.82.3,100,7690,TRUE,11/29/2021 12:59,R_3rZC2aF4WooWNDY,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),7,Treatment2
11/29/2021 13:00,11/29/2021 13:02,IP Address,172.58.190.177,100,83,TRUE,11/29/2021 13:02,R_1OD28HKaIyJ7U5A,,,,,38.90910339,-77.02030182,anonymous,EN,35 or more than 35,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),98,
11/29/2021 13:50,11/29/2021 13:52,IP Address,76.114.170.77,100,139,TRUE,11/29/2021 13:52,R_2pPrx1lzOhajz1q,,,,,39.22929382,-76.69069672,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),15,Treatment3
11/29/2021 14:02,11/29/2021 14:03,IP Address,74.140.59.223,100,85,TRUE,11/29/2021 14:03,R_W67p9vxuT06cgLf,,,,,40.29379272,-83.07440186,anonymous,EN,30-34,Male,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free),2,Treatment1
11/29/2021 14:50,11/29/2021 14:53,IP Address,107.77.235.111,100,149,TRUE,11/29/2021 14:53,R_3CKjMxJC7O69qgt,,,,,37.75100708,-97.8219986,anonymous,EN,35 or more than 35,Female,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month),30,Treatment1
11/29/2021 17:25,11/29/2021 17:26,IP Address,76.189.37.207,100,59,TRUE,11/29/2021 17:26,R_3jdoljFZSSNyEMi,,,,,41.16099548,-80.6855011,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),29,Treatment3
11/29/2021 17:28,11/29/2021 17:29,IP Address,76.189.37.207,100,54,TRUE,11/29/2021 17:29,R_AKU4K7Tttv4bJsJ,,,,,41.16099548,-80.6855011,anonymous,EN,25-29,Male,High school diploma,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month),86,
11/29/2021 17:30,11/29/2021 17:31,IP Address,73.79.138.234,100,72,TRUE,11/29/2021 17:31,R_3OewJfexj40fLV2,,,,,40.43240356,-79.92469788,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),80,
